Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-04-06,62.35,62.2,62.45,62.01,789040,0.4,0.25,0.25,0.0,27.50556792873047,2021,4.82,15.8,21.69,2.16,56.35,15.94,"43,617.27","44,478.24","43,548.21","44,404.70",157796832,856.49,77.3,0.2397754611066559
2021-04-07,62.14,62.7,62.7,61.81,1500000,-0.34,-0.21000000000000085,0.0,0.21000000000000085,16.417910447761074,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,539.72","44,571.91","43,758.05","43,953.58",194927408,-451.12,77.2,0.24235597038944323
2021-04-08,62.2,62.25,62.35,62.05,396990,0.1,0.060000000000002274,0.060000000000002274,0.0,18.253968253968154,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,176.50","44,759.37","43,953.58","44,741.36",185496496,787.78,77.1,0.23954983922829567
2021-04-09,62.25,62.33,62.33,62.0,1260000,0.08,0.04999999999999716,0.04999999999999716,0.0,44.6874999999999,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,911.73","45,249.61","44,741.36","45,186.48",292840800,445.12,77.15,0.23935742971887558
2021-04-12,63.09,62.1,63.25,62.1,989710,1.35,0.8400000000000034,0.8400000000000034,0.0,46.84684684684692,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,221.17","45,267.43","44,758.34","44,978.05",173344432,-208.43,77.25,0.22444127436994762
2021-04-13,63.8,63.3,63.98,62.96,929800,1.13,0.7099999999999937,0.7099999999999937,0.0,60.37234042553188,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,933.70","45,133.41","44,780.06","45,048.57",183665472,70.52,77.0,0.20689655172413798
2021-04-14,63.76,63.9,64.1,63.7,1020000,-0.06,-0.03999999999999915,0.0,0.03999999999999915,60.05291005291008,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,105.00","45,347.40","45,048.57","45,311.22",135766960,262.65,76.9,0.2060853199498119
2021-04-15,63.45,63.62,63.98,63.3,781680,-0.49,-0.30999999999999517,0.0,0.30999999999999517,61.684782608695706,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,389.97","45,447.49","45,174.89","45,230.18",85559304,-81.04,77.1,0.2151300236406618
2021-04-16,63.85,63.4,63.85,63.36,410090,0.63,0.3999999999999986,0.3999999999999986,0.0,70.63492063492082,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,343.55","45,471.35","45,230.18","45,305.63",55283680,75.45,77.3,0.21064996084573212
2021-04-19,65.9,63.5,65.97,63.03,5230000,3.21,2.0500000000000043,2.0500000000000043,0.0,80.071813285458,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,210.00","45,305.63","44,611.83","44,913.57",130721496,-392.06,77.4,0.1745068285280728
2021-04-20,65.8,66.35,66.5,65.72,4200000,-0.15,-0.10000000000000853,0.0,0.10000000000000853,80.0718132854578,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,120.25","45,558.13","44,913.57","45,399.78",128388088,486.21,77.5,0.17781155015197572
2021-04-21,66.96,66.3,67.1,65.9,3600000,1.76,1.1599999999999966,1.1599999999999966,0.0,83.40807174887891,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,538.07","45,626.88","45,226.18","45,306.54",171317728,-93.24,77.39,0.15576463560334539
2021-04-22,66.6,66.61,67.0,66.45,1810000,-0.54,-0.35999999999999943,0.0,0.35999999999999943,78.96995708154506,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,381.00","45,496.82","44,882.75","44,929.61",139518400,-376.93,74.01,0.11126126126126143
2021-04-23,66.0,66.27,66.8,65.9,1900000,-0.9,-0.5999999999999943,0.0,0.5999999999999943,77.31092436974791,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,929.61","44,929.61","44,363.40","44,706.76",96999704,-222.85,73.63,0.11560606060606053
